,time,wheel freq,motor current,motor rpm,motor torque,bamocar dc voltage,pack current,pack voltage,tractive voltage,left thermistor,right thermistor,middle thermistor,motor temperature,igbt temperature,pack power,real torque,motor power (w),controller efficiency
174703,371.10193,87.2013931274414,85.18283742992836,326.16041397150457,8482.101768004504,479.0,6.507053181932816,509.3370743804684,508.7379518562069,38.074330472753125,36.60581198781127,36.73930708696003,35.4667,33.342642848932684,3468.043412551488,52.46,1791.7943131959648,0.516658559322277
174704,371.10605,87.2013931274414,85.00517464424485,329.8913324708581,8369.285899095481,479.0,6.360601762087633,509.37678678880303,508.7776642645416,38.65284784602734,36.73930708696003,36.38330085074854,35.4667,33.340482109733614,3468.043412551488,52.46,1812.2904809213449,0.5225685683063631
174705,371.10617,87.2013931274414,85.0,330.0,8366.0,479.0,6.356336186750983,509.3779434608908,508.77882093662936,38.64118238228087,36.75097255070651,36.39366996442789,35.4667,33.34041917558216,3468.043412551488,51.85,1791.8073699749384,0.516662324205648
174706,371.11017,87.2013931274414,85.0,330.0,8282.417910448385,479.0,6.2141503422424496,509.4164991971376,508.81737667287615,38.25233359085887,37.1398213421285,36.73930708696003,35.4667,33.34041917558216,3468.043412551488,51.85,1791.8073699749384,0.516662324205648
174707,371.1119,87.2013931274414,85.0,330.0,8246.268656716778,479.0,6.152654964491605,509.4331745530647,508.8340520288032,39.01331707067155,36.858846219762384,36.47706648352226,35.4667,33.34041917558216,3468.043412551488,51.85,1791.8073699749384,0.516662324205648
174708,371.11428,87.2013931274414,85.0,330.0,8196.537313432753,479.0,6.068054387007644,509.45611521613193,508.85699269187046,40.06021919897049,36.472302409801415,36.11629617358992,35.4667,33.34041917558216,3468.043412551488,51.85,1791.8073699749384,0.516662324205648
174709,371.11462,87.2013931274414,85.0,330.0,8189.432835820919,479.0,6.055968590224509,509.4593924537128,508.86026992945136,39.83757686704766,36.527388923633296,36.16036490671244,35.4667,33.34041917558216,3468.043412551488,51.85,1791.8073699749384,0.516662324205648
174710,371.11495,87.2013931274414,85.0,330.0,8182.537313433626,479.0,6.044238258053773,509.4625733019529,508.8634507776914,39.6214828390257,36.580855245876734,36.20313750062135,35.4667,33.34041917558216,3468.043412551488,51.85,1791.8073699749384,0.516662324205648
174711,371.11527,87.2013931274414,85.0,330.0,8175.850746268499,479.0,6.032863390491393,509.4656577608531,508.8665352365916,39.4119371148302,36.63270137655016,36.2446139553314,35.4667,33.34041917558216,3468.043412551488,51.85,1791.8073699749384,0.516662324205648
174712,371.1156,87.2013931274414,85.0,330.0,8168.955223881207,479.0,6.021133058320656,509.4688386090932,508.8697160848317,39.19584308680824,36.6861676987936,36.28738654924031,35.4667,33.34041917558216,3468.043412551488,51.85,1791.8073699749384,0.516662324205648
174713,371.1184,87.2013931274414,85.0,330.0,8110.447761193768,479.0,5.92160296716246,509.4958276244665,508.89670510020505,37.36231800033014,37.1398213421285,36.650305527907165,35.4667,33.34041917558216,3468.043412551488,51.85,1791.8073699749384,0.516662324205648
174714,371.12252,87.2013931274414,85.0,330.0,8024.358208954784,479.0,5.775151547317277,509.5355400328012,508.9364175085397,37.85183381455148,37.40682601928712,36.91731020506578,35.4667,33.34041917558216,3468.043412551488,51.85,1791.8073699749384,0.516662324205648
